x: 415.86, y: 30, z: 964.6
- x: 4.860642, y: 21.74991, z: 18.84154
x: 675.8, y: 30, z: 1137.1
- x: 0.1806535, y: 1.150629, z: 0.1932872
x: 129.07, y: 29.99996, z: 923.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 242.2, y: 30, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 230.38, y: 29.99999, z: 1024.58
- x: 4.860642, y: 21.74991, z: 18.84154
x: 497.08, y: 30, z: 363.2
- x: 2.330234, y: 5.080001, z: 2.330235
x: 573.8, y: 29.99997, z: 812.7
- x: 4.860642, y: 22.49326, z: 18.84154
x: 433.56, y: 30.1, z: 924.13
- x: 0.3, y: 4.7, z: 2.3
x: 433.56, y: 30.1, z: 924.13
- x: 0.2, y: 4.944441, z: 2.3
x: 433.56, y: 30.1, z: 924.13
- x: 2.451823, y: 0.3000001, z: 2.3
x: 433.56, y: 30.1, z: 924.13
- x: 1.3, y: 0.2449428, z: 2.3
x: 743.39, y: 29.99998, z: 842.27
- x: 4.860642, y: 22.21877, z: 18.84154
x: 375.2, y: 30, z: 322.2
- x: 0.2, y: 3.83914, z: 0.5
x: 375.2, y: 30, z: 322.2
- x: 0.2, y: 3.84016, z: 0.5
x: 375.2, y: 30, z: 322.2
- x: 0.8, y: 0.2, z: 0.5
x: 375.2, y: 30, z: 322.2
- x: 0.8, y: 0.2, z: 0.5
x: 375.2, y: 30, z: 322.2
- x: 0.8, y: 0.2, z: 0.5
x: 375.2, y: 30, z: 322.2
- x: 0.8, y: 0.2, z: 0.5
x: 880.42, y: 30.00005, z: 355.474
- x: 2.330234, y: 5.080001, z: 2.330235
x: 182.1, y: 30.1, z: 321.6
- x: 0.3, y: 4.7, z: 2.3
x: 182.1, y: 30.1, z: 321.6
- x: 0.2, y: 4.944441, z: 2.3
x: 182.1, y: 30.1, z: 321.6
- x: 2.451823, y: 0.3000001, z: 2.3
x: 182.1, y: 30.1, z: 321.6
- x: 1.3, y: 0.2449428, z: 2.3
x: 350.9, y: 30, z: 265.98
- x: 2.330234, y: 5.080001, z: 2.330235
x: 909.6, y: 29.99994, z: 615.9
- x: 4.860642, y: 21.74991, z: 18.84154
x: 199.6, y: 30, z: 390.7
- x: 3, y: 4, z: 0.1
x: 453.89, y: 29.99987, z: 401.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 345.8, y: 30, z: 883.28
- x: 2.330234, y: 5.080001, z: 2.330235
x: 808.6, y: 30.1, z: 390.3
- x: 0.3, y: 4.7, z: 2.3
x: 808.6, y: 30.1, z: 390.3
- x: 0.2, y: 4.944441, z: 2.3
x: 808.6, y: 30.1, z: 390.3
- x: 2.451823, y: 0.3000001, z: 2.3
x: 808.6, y: 30.1, z: 390.3
- x: 1.3, y: 0.2449428, z: 2.3
x: 944.4622, y: 29.99451, z: 1084.5
- x: 15, y: 12, z: 1
x: 651.6, y: 30, z: 1188.7
- x: 2.5, y: 0.2, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 5.3, y: 0.3, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.4, y: 2.1, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.4, y: 1.6, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 1.7, y: 0.15, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.4, y: 1.25, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.3, y: 5.1, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 2.9, y: 0.3, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 9.8, y: 0.3, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.3, y: 0.4, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 1.7, y: 0.2, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.5, y: 1.4, z: 5
x: 651.6, y: 30, z: 1188.7
- x: 0.3, y: 1.7, z: 5
x: 158.32, y: 39.3209, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 186.28, y: 39.3209, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 129.07, y: 29.99983, z: 336.02
- x: 4.860642, y: 21.74991, z: 18.84154
x: 1039.229, y: 30, z: 1013.4
- x: 2.405706, y: 0.1342279, z: 2.4
x: 1039.229, y: 30, z: 1013.4
- x: 0.2068206, y: 1.398735, z: 2.4
x: 1039.229, y: 30, z: 1013.4
- x: 1.332742, y: 0.1329613, z: 2.4
x: 1039.229, y: 30, z: 1013.4
- x: 0.1467154, y: 1.531407, z: 2.4
x: 380.012, y: 30.0885, z: 898.94
- x: 2.330234, y: 5.080001, z: 2.330235
x: 149, y: 30, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 601, y: 30, z: 1245.7
- x: 0.2363337, y: 1.150629, z: 0.167978
x: 808.64, y: 29.99998, z: 847.71
- x: 4.860642, y: 22.55009, z: 18.84154
x: 764.8, y: 30, z: 1092.8
- x: 0.2363337, y: 1.150629, z: 0.167978
x: 424.5, y: 29.99451, z: 549
- x: 6.849831, y: 6.875944, z: 0.288264
x: 182.1, y: 30.1, z: 321.6
- x: 2.3, y: 5, z: 1
x: 485, y: 30, z: 818.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 1656, y: 30, z: 1585.068
- x: 2.671631, y: 1.000394, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.671631, y: 0.9528793, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.629438, y: 0.8582736, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.638349, y: 0.857442, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.711258, y: 0.8446831, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.711258, y: 0.9302976, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.438105, y: 0.8866981, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.438105, y: 0.8712066, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.630981, y: 0.8681002, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.631592, y: 0.8607575, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.485962, y: 0.8306755, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.468709, y: 0.8440333, z: 4
x: 1656, y: 30, z: 1585.068
- x: 5.630659, y: 5.233475, z: 4
x: 1656, y: 30, z: 1585.068
- x: 5.630659, y: 5.233475, z: 4
x: 1656, y: 30, z: 1585.068
- x: 5.651978, y: 5.248775, z: 4
x: 1656, y: 30, z: 1585.068
- x: 5.651978, y: 5.240964, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.879064, y: 5.295494, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.879064, y: 5.311555, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.879064, y: 5.352987, z: 4
x: 1656, y: 30, z: 1585.068
- x: 38.45163, y: 1.710123, z: 4
x: 1656, y: 30, z: 1585.068
- x: 38.45094, y: 1.710123, z: 4
x: 1656, y: 30, z: 1585.068
- x: 2.879064, y: 5.189617, z: 4
x: 867, y: 30, z: 782
- x: 2.330234, y: 5.080001, z: 2.330235
x: 155.8, y: 30.1, z: 321.6
- x: 0.3, y: 4.7, z: 2.3
x: 155.8, y: 30.1, z: 321.6
- x: 0.2, y: 4.944441, z: 2.3
x: 155.8, y: 30.1, z: 321.6
- x: 2.451823, y: 0.3000001, z: 2.3
x: 155.8, y: 30.1, z: 321.6
- x: 1.3, y: 0.2449428, z: 2.3
x: 436.5, y: 30, z: 772.4
- x: 0.2, y: 3.83914, z: 0.5
x: 436.5, y: 30, z: 772.4
- x: 0.2, y: 3.84016, z: 0.5
x: 436.5, y: 30, z: 772.4
- x: 0.8, y: 0.2, z: 0.5
x: 436.5, y: 30, z: 772.4
- x: 0.8, y: 0.2, z: 0.5
x: 436.5, y: 30, z: 772.4
- x: 0.8, y: 0.2, z: 0.5
x: 436.5, y: 30, z: 772.4
- x: 0.8, y: 0.2, z: 0.5
x: 545.4, y: 30, z: 741.2
- x: 2.330234, y: 5.080001, z: 2.330235
x: 1783, y: 30, z: 1583.068
- x: 2.671631, y: 1.000394, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.671631, y: 0.9528793, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.629438, y: 0.8582736, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.638349, y: 0.857442, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.711258, y: 0.8446831, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.711258, y: 0.9302976, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.438105, y: 0.8866981, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.438105, y: 0.8712066, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.630981, y: 0.8681002, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.631592, y: 0.8607575, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.485962, y: 0.8306755, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.468709, y: 0.8440333, z: 4
x: 1783, y: 30, z: 1583.068
- x: 5.630659, y: 5.233475, z: 4
x: 1783, y: 30, z: 1583.068
- x: 5.630659, y: 5.233475, z: 4
x: 1783, y: 30, z: 1583.068
- x: 5.651978, y: 5.248775, z: 4
x: 1783, y: 30, z: 1583.068
- x: 5.651978, y: 5.240964, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.879064, y: 5.295494, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.879064, y: 5.311555, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.879064, y: 5.352987, z: 4
x: 1783, y: 30, z: 1583.068
- x: 38.45163, y: 1.710123, z: 4
x: 1783, y: 30, z: 1583.068
- x: 38.45094, y: 1.710123, z: 4
x: 1783, y: 30, z: 1583.068
- x: 2.879064, y: 5.189617, z: 4
x: 945.1158, y: 30, z: 1204.4
- x: 0.9, y: 3.503052, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 0.7, y: 1.652039, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 0.7, y: 6.449158, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 14.6, y: 0.8, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 0.8, y: 6.3, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 0.8, y: 1.6, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 14.6, y: 0.8, z: 5
x: 945.1158, y: 30, z: 1204.4
- x: 10.29987, y: 0.8, z: 5
x: 425.3, y: 30.08843, z: 367
- x: 2.330234, y: 5.080001, z: 2.330235
x: 620.45, y: 29.99989, z: 240.15
- x: 4.860642, y: 21.74991, z: 18.84154
x: 831.3, y: 30, z: 355.09
- x: 2.330234, y: 5.080001, z: 2.330235
x: 850.6, y: 30.1, z: 390.6
- x: 2.3, y: 5, z: 1
x: 615.4, y: 30, z: 817.69
- x: 2.330234, y: 5.080001, z: 2.330235
x: 912.07, y: 29.9999, z: 336.02
- x: 4.860642, y: 21.74991, z: 18.84154
x: 871.32, y: 38.9746, z: 365.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 520.568, y: 29.99987, z: 548.701
- x: 4.860642, y: 21.74991, z: 18.84154
x: 912.07, y: 29.9999, z: 401.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 1081.75, y: 29.99451, z: 370.8919
- x: 0.600201, y: 2.266762, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 0.4714125, y: 3.333793, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 6.343383, y: 0.6549324, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 0.7001842, y: 6.191405, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 1.443816, y: 3.967588, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 14.59184, y: 0.8981321, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 14.75564, y: 0.4407847, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 0.7275391, y: 1.847007, z: 5
x: 1081.75, y: 29.99451, z: 370.8919
- x: 0.7188849, y: 1.879801, z: 5
x: 380.1, y: 39.3209, z: 858.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 894.6, y: 30, z: 591.6
- x: 2.405706, y: 0.1342279, z: 2.4
x: 894.6, y: 30, z: 591.6
- x: 0.2068206, y: 1.398735, z: 2.4
x: 894.6, y: 30, z: 591.6
- x: 1.332742, y: 0.1329613, z: 2.4
x: 894.6, y: 30, z: 591.6
- x: 0.1467154, y: 1.531407, z: 2.4
x: 898.1, y: 30, z: 426.4
- x: 2.405706, y: 0.1342279, z: 2.4
x: 898.1, y: 30, z: 426.4
- x: 0.2068206, y: 1.398735, z: 2.4
x: 898.1, y: 30, z: 426.4
- x: 1.332742, y: 0.1329613, z: 2.4
x: 898.1, y: 30, z: 426.4
- x: 0.1467154, y: 1.531407, z: 2.4
x: 155.8, y: 30.1, z: 321.6
- x: 2.3, y: 5, z: 1
x: 232.79, y: 30, z: 323
- x: 2.330234, y: 5.080001, z: 2.330235
x: 699.38, y: 30, z: 275.7
- x: 2.330234, y: 5.080001, z: 2.330235
x: 389.6, y: 39.49787, z: 988.28
- x: 2.330234, y: 5.080001, z: 2.330235
x: 376.92, y: 30.08843, z: 402
- x: 2.330234, y: 5.080001, z: 2.330235
x: 678.14, y: 29.99998, z: 842.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 605.7, y: 30, z: 761.1
- x: 27, y: 50, z: 2
x: 1494, y: 30, z: 1791.068
- x: 39, y: 28, z: 1
x: 167.64, y: 39.3209, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 870.6, y: 30, z: 730.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 944.4622, y: 29.99451, z: 1084.5
- x: 0.9, y: 3.503052, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 0.7, y: 1.652039, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 0.7, y: 6.449158, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 14.6, y: 0.8, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 0.8, y: 6.3, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 0.8, y: 1.6, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 14.6, y: 0.8, z: 5
x: 944.4622, y: 29.99451, z: 1084.5
- x: 10.29987, y: 0.8, z: 5
x: 186.28, y: 30, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 228.95, y: 29.99984, z: 240.15
- x: 4.860642, y: 21.74991, z: 18.84154
x: 149, y: 39.3209, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 223.56, y: 30, z: 275.4
- x: 2.330234, y: 5.080001, z: 2.330235
x: 426, y: 30.08843, z: 301.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 690.5, y: 30, z: 1319.6
- x: 2.5, y: 0.2, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 5.3, y: 0.3, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.4, y: 2.1, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.4, y: 1.6, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 1.7, y: 0.15, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.4, y: 1.25, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.3, y: 5.1, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 2.9, y: 0.3, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 9.8, y: 0.3, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.3, y: 0.4, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 1.7, y: 0.2, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.5, y: 1.4, z: 5
x: 690.5, y: 30, z: 1319.6
- x: 0.3, y: 1.7, z: 5
x: 619, y: 30, z: 1275.2
- x: 2.5, y: 0.2, z: 5
x: 619, y: 30, z: 1275.2
- x: 5.3, y: 0.3, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.4, y: 2.1, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.4, y: 1.6, z: 5
x: 619, y: 30, z: 1275.2
- x: 1.7, y: 0.15, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.4, y: 1.25, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.3, y: 5.1, z: 5
x: 619, y: 30, z: 1275.2
- x: 2.9, y: 0.3, z: 5
x: 619, y: 30, z: 1275.2
- x: 9.8, y: 0.3, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.3, y: 0.4, z: 5
x: 619, y: 30, z: 1275.2
- x: 1.7, y: 0.2, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.5, y: 1.4, z: 5
x: 619, y: 30, z: 1275.2
- x: 0.3, y: 1.7, z: 5
x: 425.3, y: 30.08843, z: 334.7
- x: 2.330234, y: 5.080001, z: 2.330235
x: 577.6, y: 30, z: 353.9
- x: 0.2, y: 3.83914, z: 0.5
x: 577.6, y: 30, z: 353.9
- x: 0.2, y: 3.84016, z: 0.5
x: 577.6, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 577.6, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 577.6, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 577.6, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 420.87, y: 30.1, z: 904.3
- x: 0.3, y: 4.7, z: 2.3
x: 420.87, y: 30.1, z: 904.3
- x: 0.2, y: 4.944441, z: 2.3
x: 420.87, y: 30.1, z: 904.3
- x: 2.451823, y: 0.3000001, z: 2.3
x: 420.87, y: 30.1, z: 904.3
- x: 1.3, y: 0.2449428, z: 2.3
x: 453.89, y: 29.99988, z: 336.02
- x: 4.860642, y: 21.74991, z: 18.84154
x: 207.08, y: 30.08843, z: 460.2
- x: 2.330234, y: 5.080001, z: 2.330235
x: 690.5, y: 30, z: 1319.6
- x: 11, y: 6, z: 1
x: 872.5, y: 30, z: 817.69
- x: 2.330234, y: 5.080001, z: 2.330235
x: 840.7, y: 30, z: 322.5
- x: 2.330234, y: 5.080001, z: 2.330235
x: 242.11, y: 30, z: 323
- x: 2.330234, y: 5.080001, z: 2.330235
x: 249.4, y: 30, z: 991.1
- x: 2.405706, y: 0.1342279, z: 2.4
x: 249.4, y: 30, z: 991.1
- x: 0.2068206, y: 1.398735, z: 2.4
x: 249.4, y: 30, z: 991.1
- x: 1.332742, y: 0.1329613, z: 2.4
x: 249.4, y: 30, z: 991.1
- x: 0.1467154, y: 1.531407, z: 2.4
x: 945.1158, y: 30, z: 1145.3
- x: 0.9, y: 3.503052, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 0.7, y: 1.652039, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 0.7, y: 6.449158, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 14.6, y: 0.8, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 0.8, y: 6.3, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 0.8, y: 1.6, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 14.6, y: 0.8, z: 5
x: 945.1158, y: 30, z: 1145.3
- x: 10.29987, y: 0.8, z: 5
x: 629.5, y: 30, z: 1215.1
- x: 0.2363337, y: 1.150629, z: 0.167978
x: 789.9, y: 30, z: 390.6
- x: 2.330234, y: 5.080001, z: 2.330235
x: 734.1158, y: 30, z: 353.9
- x: 0.2, y: 3.83914, z: 0.5
x: 734.1158, y: 30, z: 353.9
- x: 0.2, y: 3.84016, z: 0.5
x: 734.1158, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 734.1158, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 734.1158, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 734.1158, y: 30, z: 353.9
- x: 0.8, y: 0.2, z: 0.5
x: 380.012, y: 39.4094, z: 898.94
- x: 2.330234, y: 5.080001, z: 2.330235
x: 805.8, y: 29.99451, z: 1214.43
- x: 0.2363337, y: 1.150629, z: 0.167978
x: 288.2, y: 30.1, z: 314.8
- x: 0.3, y: 4.7, z: 2.3
x: 288.2, y: 30.1, z: 314.8
- x: 0.2, y: 4.944441, z: 2.3
x: 288.2, y: 30.1, z: 314.8
- x: 2.451823, y: 0.3000001, z: 2.3
x: 288.2, y: 30.1, z: 314.8
- x: 1.3, y: 0.2449428, z: 2.3
x: 977.2, y: 30, z: 1271.8
- x: 2.405706, y: 0.1342279, z: 2.4
x: 977.2, y: 30, z: 1271.8
- x: 0.2068206, y: 1.398735, z: 2.4
x: 977.2, y: 30, z: 1271.8
- x: 1.332742, y: 0.1329613, z: 2.4
x: 977.2, y: 30, z: 1271.8
- x: 0.1467154, y: 1.531407, z: 2.4
x: 380.1, y: 30, z: 858.3
- x: 2.330234, y: 5.080001, z: 2.330235
x: 489.95, y: 29.99987, z: 240.15
- x: 4.860642, y: 21.74991, z: 18.84154
x: 388.64, y: 29.99989, z: 548.701
- x: 4.860642, y: 21.74991, z: 18.84154
x: 651.6, y: 30, z: 1188.7
- x: 11, y: 6, z: 1
x: 271.1, y: 30, z: 473.4
- x: 3, y: 4, z: 0.1
x: 1107.592, y: 29.99451, z: 526
- x: 2.671631, y: 1.000394, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.671631, y: 0.9528793, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.629438, y: 0.8582736, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.638349, y: 0.857442, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.711258, y: 0.8446831, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.711258, y: 0.9302976, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.438105, y: 0.8866981, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.438105, y: 0.8712066, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.630981, y: 0.8681002, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.631592, y: 0.8607575, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.485962, y: 0.8306755, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.468709, y: 0.8440333, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 5.630659, y: 5.233475, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 5.630659, y: 5.233475, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 5.651978, y: 5.248775, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 5.651978, y: 5.240964, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.879064, y: 5.295494, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.879064, y: 5.311555, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.879064, y: 5.352987, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 38.45163, y: 1.710123, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 38.45094, y: 1.710123, z: 4
x: 1107.592, y: 29.99451, z: 526
- x: 2.879064, y: 5.189617, z: 4
x: 438.96, y: 39.3209, z: 959.8
- x: 2.330234, y: 5.080001, z: 2.330235
x: 163.7, y: 29.99983, z: 240.15
- x: 4.860642, y: 20.71084, z: 18.84154
x: 909.6, y: 29.99996, z: 811.65
- x: 4.860642, y: 21.1772, z: 18.84154
x: 1515.7, y: 30, z: 1633.568
- x: 2.671631, y: 1.000394, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.671631, y: 0.9528793, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.629438, y: 0.8582736, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.638349, y: 0.857442, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.711258, y: 0.8446831, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.711258, y: 0.9302976, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.438105, y: 0.8866981, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.438105, y: 0.8712066, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.630981, y: 0.8681002, z: 4
x: 1515.7, y: 30, z: 1633.568
- x: 2.631592, y: 0.8607575, z: 4
